timestamp,JSHeapUsedSize,JSHeapTotalSize,Nodes,LayoutCount,RecalcStyleCount
1785662374789,1605564,2793472,149,0,1
1785662375671,4473648,5681152,256,1,2
1785662376381,4473648,5681152,256,1,2
1785662378984,4473648,5681152,256,1,2
1785662379717,4491080,5681152,256,1,2
1785662381599,4664020,5681152,257,2,3
1785662384533,4696140,5943296,275,2,4
1785662385781,4697196,5943296,275,2,4
1785662388391,4703932,5943296,275,2,4
1785662390967,4703932,5943296,275,2,4
1785662391623,4703932,5943296,275,2,4
